	city	lat	long	color
285	een	53.08084365	6.38301551187649	rgb(215,48,39)
286	roermond	51.1927811	6.00395278289544	rgb(254,224,139)
287	noordhorn	53.2672144	6.391052878708909	rgb(220,220,220)
288	leek	53.15794945	6.378537728720762	rgb(215,48,39)
289	zuidhorn	53.2480032	6.40486	rgb(220,220,220)
290	molenschot	51.5732108	4.882459	rgb(253,174,97)
291	molenschot.nl	51.5732108	4.882459	rgb(253,174,97)
292	mill	51.69261945	5.782773062375928	rgb(220,220,220)
293	yerseke	51.50036785	4.06084511779487	rgb(254,224,139)
294	geleen	50.98291905	5.81527303633536	rgb(215,48,39)
295	vinkeveen	52.22323710000001	4.9432840640435805	rgb(26,152,80)
296	edd			rgb(215,48,39)
297	oud verlaat	51.9784026	4.5532874	rgb(220,220,220)
298	oostwold	53.2156517	7.0431840382112805	rgb(166,217,106)
299	maarn	52.05947315	5.36235641104137	rgb(166,217,106)
300	gemert	51.5559275	5.68986856658353	rgb(215,48,39)
301	barendrecht	51.85193795	4.52938352520747	rgb(254,224,139)
302	luxwoude	52.99561225	5.986159092788348	rgb(215,48,39)
303	eelde	53.12979215	6.57863745133619	rgb(215,48,39)
304	denhaag			rgb(253,174,97)
305	heerhugowaard	52.6780162	4.85168859396379	rgb(215,48,39)
306	pernis	51.88352929999999	4.39489413782817	rgb(166,217,106)
307	bladel	51.3667765	5.2154317	rgb(254,224,139)
308	tiel	51.89242535	5.4304381741379295	rgb(215,48,39)
309	oosterhou			rgb(254,224,139)
310	stellendam	51.79793555	4.0377631395430695	rgb(215,48,39)
311	koog aan de zaan	52.4616788	4.797883308371519	rgb(220,220,220)
312	goes	51.5031144	3.88924980553989	rgb(166,217,106)
313	houte	52.3635766	6.4565837	rgb(215,48,39)
314	rosmalen	51.72589315	5.37166697411184	rgb(217,239,139)
315	breukelen	52.16455420000001	5.0028581383324005	rgb(254,224,139)
316	prinsenbeek	51.6128133	4.68804454741018	rgb(166,217,106)
317	heemstede	52.34282575	4.61807385354216	rgb(26,152,80)
318	luttenberg	52.40639960000001	6.3654828000000006	rgb(244,109,67)
319	kloosterhaar	52.51100185	6.6872348223988	rgb(244,109,67)
320	mariënheem	52.3815136	6.322383900000001	rgb(217,239,139)
321	kapelle	51.4879711	3.96063	rgb(217,239,139)
322	wierden	52.35195215	6.56744842056736	rgb(217,239,139)
323	leeuwarden	53.19968475	5.800690895602338	rgb(217,239,139)
324	brummen	52.08709	6.1569699999999985	rgb(217,239,139)
325	heerjansdam	51.8299855	4.57256433022763	rgb(217,239,139)
326	ruinerwold	52.73490385	6.271491568437001	rgb(217,239,139)
327	's-hertogenbosch	51.7099516	5.291918817915019	rgb(215,48,39)
328	oudewater	52.02015625	4.89655977520417	rgb(166,217,106)
329	lopik	51.9752848	4.949174299999999	rgb(166,217,106)
330	lichtenvoord			rgb(220,220,220)
331	teteringen	51.6158175	4.81439156671432	rgb(217,239,139)
332	loo	52.2528473	6.3390537	rgb(217,239,139)
333	mook	51.75652615	5.892586457898049	rgb(166,217,106)
334	baarlo	51.3339678	6.083243843629991	rgb(217,239,139)
335	warmenhuizen	52.71396800000001	4.7415409546396905	rgb(253,174,97)
336	bergschenhoek	51.9831219	4.51035450849736	rgb(254,224,139)
337	losser	52.262136100000006	7.0047679	rgb(220,220,220)
338	rolde	52.98774445	6.64323015172448	rgb(215,48,39)
339	beverwijk	52.478626	4.6732036218509005	rgb(254,224,139)
340	bunnik	52.0663338	5.1941182	rgb(217,239,139)
341	noordwijk	52.2698999	4.452685881751611	rgb(220,220,220)
342	denekamp	52.39023465	7.015091794014071	rgb(220,220,220)
343	soest	52.16447575	5.295725560695611	rgb(220,220,220)
344	valkenswaard	51.350688	5.4594497	rgb(217,239,139)
345	asterdam			rgb(166,217,106)
346	haulerwijk	53.0544423	6.35679045535244	rgb(215,48,39)
347	heiloo	52.60192475	4.70503175175436	rgb(217,239,139)
348	yerske			rgb(254,224,139)
349	hulsberg	50.89473035	5.85429956760686	rgb(166,217,106)
350	mijdrecht	52.2129156	4.85504194217791	rgb(215,48,39)
351	horssen	51.8528594	5.60923178842463	rgb(244,109,67)
352	beuningen gld	51.8566956	5.75995174352494	rgb(254,224,139)
353	annen	53.0583313	6.74209824450645	rgb(217,239,139)
354	grootebroek	52.70102215	5.22081301918449	rgb(215,48,39)
355	joure	52.9808856	5.81155885165046	rgb(253,174,97)
356	mierlo	51.43942285	5.60630498224332	rgb(220,220,220)
357	boazum	53.09085989999999	5.693494040311379	rgb(26,152,80)
358	deinum	53.19235725	5.71468430203763	rgb(253,174,97)
359	tull en ‘t waal			rgb(217,239,139)
360	maastricht	50.85798545	5.69698818182211	rgb(215,48,39)
361	ven-zelderheide	51.71131055	6.01797960380062	rgb(217,239,139)
362	daarlerveen	52.4421687	6.5779443	rgb(166,217,106)
363	ermelo	52.30015	5.62302	rgb(244,109,67)
364	beek en donk	51.5438804	5.6270606702921615	rgb(166,217,106)
365	's gravenzande	51.9966063	4.15880471451348	rgb(166,217,106)
366	zoetermeee			rgb(220,220,220)
367	nieuw dordrecht	52.749210700000006	6.968285558991702	rgb(166,217,106)
368	bemmel	51.89991335	5.893718423595929	rgb(244,109,67)
369	sprang-capelle	51.6874752	4.99750283456016	rgb(254,224,139)
370	noordscheschut	52.7208497	6.5345138	rgb(215,48,39)
